school,year,applied,admitted,enrolled,admit_rate_pct,yield_pct
stanford,2023-2024,53733,2099,1699,3.91,80.94
stanford,2024-2025,57326,2067,1693,3.61,81.91
stanford,2025-2026,60646,2302,1839,3.8,79.89
swarthmore,2023-2024,20278,1482,415,7.31,28.0
tufts,2018-2019,21501,3143,1484,14.62,47.22
tufts,2023-2024,34003,3444,1739,10.13,50.49
tufts,2024-2025,33144,3822,1733,11.53,45.34
uc_davis,2020-2021,76225,35304,6137,46.32,17.38
uc_davis,2023-2024,94627,39399,6581,41.64,16.7
uc_davis,2024-2025,93975,39206,6513,41.72,16.61
uc_riverside,2019-2020,49518,28224,4778,57.0,16.93
uc_riverside,2023-2024,54747,38473,5342,70.27,13.89
uc_riverside,2024-2025,55489,42564,5281,76.71,12.41
uc_san_diego,2019-2020,99133,32062,6023,32.34,18.79
uc_san_diego,2023-2024,130845,32403,7007,24.76,21.62
uc_san_diego,2024-2025,128178,34246,7085,26.72,20.69
uchicago,2021-2022,37958,2460,2053,6.48,83.46
uchicago,2022-2023,37500,2039,1729,5.44,84.8
uchicago,2023-2024,38622,1849,1626,4.79,87.94
uchicago,2024-2025,42831,1955,1726,4.56,88.29
ucla,2020-2021,107356,15352,6378,14.3,41.55
ucla,2023-2024,139824,12341,6541,8.83,53.0
ucla,2025-2026,145086,13659,6553,9.41,47.98
usc,2022-2023,69062,8304,3420,12.02,41.18
usc,2024-2025,82000,8045,3489,9.81,43.37
uva,2024-2025,58937,9909,3961,16.81,39.97
wake_forest,2018-2019,12937,3803,1421,29.4,37.37
wake_forest,2023-2024,17477,3768,1385,21.56,36.76
wake_forest,2024-2025,18722,4056,1466,21.66,36.14
washu,2019-2020,25426,3522,1732,13.85,49.18
washu,2023-2024,32240,3855,1828,11.96,47.42
washu,2024-2025,32741,3950,1846,12.06,46.73
yale,2010-2011,25869,2039,1344,7.88,65.91
yale,2014-2015,30932,1950,1360,6.3,69.74
yale,2017-2018,32914,2285,1579,6.94,69.1
yale,2024-2025,57491,2227,1554,3.87,69.78
yale,2025-2026,50264,2387,1633,4.75,68.41
