school,year,metric,value
penn,2014-2015,rate_6yr_pct,96.0
penn,2014-2015,freshman_retention_rate_pct,97.0
penn,2013-2014,rate_6yr_pct,96.0
penn,2013-2014,freshman_retention_rate_pct,98.0
penn,2012-2013,rate_6yr_pct,95.8
penn,2012-2013,freshman_retention_rate_pct,98.1
penn,2011-2012,rate_6yr_pct,96.0
penn,2011-2012,freshman_retention_rate_pct,97.0
penn,2010-2011,rate_6yr_pct,95.0
penn,2010-2011,freshman_retention_rate_pct,99.0
penn,2009-2010,rate_6yr_pct,95.0
penn,2009-2010,freshman_retention_rate_pct,98.0
penn_state,2022-2023,rate_6yr_pct,75.09
penn_state,2019-2020,rate_6yr_pct,76.6
penn_state,2019-2020,freshman_retention_rate_pct,93.6
pittsburgh,2025-2026,rate_6yr_pct,80.4
pittsburgh,2019-2020,rate_6yr_pct,75.5
pittsburgh,2019-2020,freshman_retention_rate_pct,92.8
princeton,2025-2026,rate_6yr_pct,98.0
princeton,2025-2026,freshman_retention_rate_pct,99.0
princeton,2024-2025,rate_6yr_pct,97.0
princeton,2024-2025,freshman_retention_rate_pct,98.0
princeton,2023-2024,rate_6yr_pct,96.6
princeton,2023-2024,freshman_retention_rate_pct,97.0
princeton,2017-2018,rate_6yr_pct,94.79
princeton,2017-2018,freshman_retention_rate_pct,98.0
princeton,2010-2011,rate_6yr_pct,96.0
princeton,2010-2011,freshman_retention_rate_pct,98.0
rice,2024-2025,freshman_retention_rate_pct,97.41
rice,2020-2021,rate_6yr_pct,89.1
rice,2020-2021,freshman_retention_rate_pct,96.7
rutgers,2023-2024,rate_6yr_pct,81.1
rutgers,2023-2024,freshman_retention_rate_pct,93.0
rutgers,2022-2023,rate_6yr_pct,80.5
rutgers,2022-2023,freshman_retention_rate_pct,92.0
rutgers,2012-2013,rate_6yr_pct,75.4
rutgers,2012-2013,freshman_retention_rate_pct,91.0
stanford,2025-2026,freshman_retention_rate_pct,97.0
