school,year,metric,value
penn,2016-2017,student_faculty_ratio,6:1
penn,2016-2017,total_instructional_faculty,2150
penn,2015-2016,student_faculty_ratio,6:1
penn,2015-2016,total_instructional_faculty,2085
penn,2014-2015,student_faculty_ratio,6:1
penn,2014-2015,total_instructional_faculty,2048
penn,2013-2014,student_faculty_ratio,6:1
penn,2013-2014,total_instructional_faculty,2248
penn,2012-2013,student_faculty_ratio,6:1
penn,2012-2013,total_instructional_faculty,2250
penn,2011-2012,student_faculty_ratio,6:1
penn,2011-2012,total_instructional_faculty,2196
penn,2010-2011,student_faculty_ratio,6:1
penn,2010-2011,total_instructional_faculty,2161
penn,2009-2010,student_faculty_ratio,6:1
penn,2009-2010,total_instructional_faculty,2200
penn_state,2022-2023,student_faculty_ratio,14.77:1
penn_state,2022-2023,total_instructional_faculty,497
penn_state,2019-2020,student_faculty_ratio,14.6:1
penn_state,2019-2020,total_instructional_faculty,3377
pittsburgh,2025-2026,student_faculty_ratio,1
pittsburgh,2019-2020,student_faculty_ratio,14:1
pittsburgh,2019-2020,total_instructional_faculty,2388
princeton,2025-2026,student_faculty_ratio,8:1
princeton,2025-2026,total_instructional_faculty,1252
princeton,2024-2025,student_faculty_ratio,5:1
princeton,2024-2025,total_instructional_faculty,1232
princeton,2023-2024,student_faculty_ratio,5:1
princeton,2023-2024,total_instructional_faculty,1232
princeton,2017-2018,student_faculty_ratio,5:1
princeton,2017-2018,total_instructional_faculty,1149
princeton,2010-2011,student_faculty_ratio,6:1
princeton,2010-2011,total_instructional_faculty,1070
rice,2020-2021,student_faculty_ratio,5.66:1
rice,2020-2021,total_instructional_faculty,895
rutgers,2023-2024,student_faculty_ratio,15:1
rutgers,2023-2024,total_instructional_faculty,3869
rutgers,2022-2023,student_faculty_ratio,15:1
rutgers,2022-2023,total_instructional_faculty,3870
rutgers,2012-2013,student_faculty_ratio,13:1
rutgers,2012-2013,total_instructional_faculty,4246
stanford,2022-2023,student_faculty_ratio,6:1
stanford,2020-2021,student_faculty_ratio,4:1
stanford,2018-2019,student_faculty_ratio,5:1
stanford,2018-2019,total_instructional_faculty,2556
stanford,2017-2018,student_faculty_ratio,4:1
stanford,2017-2018,total_instructional_faculty,1651
stanford,2016-2017,student_faculty_ratio,4.25:1
stanford,2016-2017,total_instructional_faculty,1637
stanford,2015-2016,student_faculty_ratio,4.4:1
stanford,2015-2016,total_instructional_faculty,1615
stanford,2014-2015,student_faculty_ratio,4:1
stanford,2014-2015,total_instructional_faculty,1583
stanford,2013-2014,student_faculty_ratio,5:1
stanford,2013-2014,total_instructional_faculty,1510
stanford,2012-2013,student_faculty_ratio,5:1
stanford,2012-2013,total_instructional_faculty,1508
stanford,2011-2012,student_faculty_ratio,5:1
stanford,2011-2012,total_instructional_faculty,1452
stanford,2010-2011,student_faculty_ratio,6:1
stanford,2010-2011,total_instructional_faculty,1014
stanford,2009-2010,student_faculty_ratio,6:1
stanford,2009-2010,total_instructional_faculty,1023
stanford,2008-2009,student_faculty_ratio,6.4:1
stanford,2008-2009,total_instructional_faculty,1002
swarthmore,2024-2025,student_faculty_ratio,7.4
swarthmore,2024-2025,total_instructional_faculty,207
swarthmore,2023-2024,student_faculty_ratio,7.8:1
swarthmore,2023-2024,total_instructional_faculty,236
tufts,2024-2025,student_faculty_ratio,10:1
tufts,2024-2025,total_instructional_faculty,1222
tufts,2018-2019,student_faculty_ratio,9:1
tufts,2018-2019,total_instructional_faculty,1041
uc_davis,2024-2025,student_faculty_ratio,22:1
